Column1,Sample,Timepoint,Delivery,Diet,Kati_Allo
1.0.N.B.M1,1,1,N,B,0
1.0.N.B.M3,1,3,N,B,0
1.0.N.F.M12,1,12,N,F,0
1.0.N.F.M24,1,24,N,F,0
2.1.C.B.M1,2,1,C,B,1
2.1.C.B.M3,2,3,C,B,1
2.1.C.BF.M7,2,7,C,BF,1
3.1.N.B.M1,3,1,N,B,1
3.1.N.B.M3,3,3,N,B,1
3.1.N.F.M7,3,7,N,F,1
3.1.N.F.M12,3,12,N,F,1
4.1.C.B.M1,4,1,C,B,1
4.1.C.B.M3,4,3,C,B,1
4.1.C.F.M12,4,12,C,F,1
4.1.C.F.M24,4,24,C,F,1
8.0.N.B.M1,8,1,N,B,0
8.0.N.B.M3,8,3,N,B,0
8.0.N.F.M7,8,7,N,F,0
8.0.N.F.M12,8,12,N,F,0
8.0.N.F.M24,8,24,N,F,0
11.1.C.B.M1,11,1,C,B,1
11.1.C.B.M3,11,3,C,B,1
11.1.C.B.M7,11,7,C,B,1
11.1.C.B.M24,11,24,C,B,1
11.1,11,ot,C,B,1
11.3,11,ot,C,B,3
11.12,11,ot,C,B,12
11.7,11,ot,C,B,7
11.5,11,5,C,B,5
11.9,11,9,C,B,9
12.0.C.B.M1,12,1,C,B,0
12.0.C.B.M3,12,3,C,B,0
12.0.C.B.M7,12,7,C,B,0
12.0.C.F.M12,12,12,C,F,0
12.0.C.F.M24,12,24,C,F,0
12.5,12,5,C,B,5
12.7,12,ot,C,B,7
12.12,12,ot,C,F,12
12.3,12,ot,C,B,3
12.1,12,ot,C,B,1
12.9,12,9,C,B,9
13.1.N.B.M1,13,1,N,B,1
13.1.N.BF.M3,13,3,N,BF,1
13.1.N.F.M7,13,7,N,F,1
13.1.N.F.M12,13,12,N,F,1
13.1.N.F.M24,13,24,N,F,1
14.1.N.BF.M1,14,1,N,BF,1
14.1.N.BF.M3,14,3,N,BF,1
14.1.N.F.M7,14,7,N,F,1
14.1.N.F.M12,14,12,N,F,1
15.1.N.B.M1,15,1,N,B,1
15.1.N.B.M3,15,3,N,B,1
15.1.N.BF.M7,15,7,N,BF,1
15.1.N.F.M12,15,12,N,F,1
16.0.N.B.M1,16,1,N,B,0
16.0.N.B.M3,16,3,N,B,0
16.0.N.B.M7,16,7,N,B,0
16.0.N.F.M12,16,12,N,F,0
16.0.N.F.M24,16,24,N,F,0
16.1,16,ot,N,B,1
16.3,16,ot,N,B,3
16.9,16,9,N,B,9
16.5,16,5,N,B,5
16.7,16,ot,N,B,7
18.0.N.B.M1,18,1,N,B,0
18.0.N.B.M3,18,3,N,B,0
18.0.N.F.M7,18,7,N,F,0
18.0.N.F.M12,18,12,N,F,0
19.1.N.B.M1,19,1,N,B,1
19.1.N.B.M3,19,3,N,B,1
19.1.N.BF.M7,19,7,N,BF,1
19.1.N.F.M12,19,12,N,F,1
19.1.N.F.M24,19,24,N,F,1
20.1.N.B.M1,20,1,N,B,1
20.1.N.F.M3,20,3,N,F,1
20.1.N.F.M7,20,7,N,F,1
20.1.N.F.M12,20,12,N,F,1
20.1.N.F.M24,20,24,N,F,1
23.0.C.F.M3,23,3,C,F,0
23.0.C.F.M7,23,7,C,F,0
23.0.C.F.M12,23,12,C,F,0
23.0.C.F.M24,23,24,C,F,0
23.3,23,ot,C,F,3
23.5,23,5,C,F,5
23.7,23,ot,C,F,7
23.9,23,9,C,F,9
23.1,23,ot,C,F,1
23.12,23,ot,C,F,12
24.0.N.F.M1,24,1,N,F,0
24.0.N.F.M3,24,3,N,F,0
24.0.N.F.M7,24,7,N,F,0
24.0.N.F.M12,24,12,N,F,0
24.3,24,ot,N,F,3
24.12,24,ot,N,F,12
24.7,24,ot,N,F,7
24.1,24,ot,N,F,1
24.5,24,5,N,F,5
25.1.N.F.M1,25,1,N,F,1
25.1.N.F.M3,25,3,N,F,1
25.1.N.F.M7,25,7,N,F,1
25.1.N.F.M12,25,12,N,F,1
25.1.N.F.M24,25,24,N,F,1
25.12,25,ot,N,F,12
25.5,25,5,N,F,5
25.1,25,ot,N,F,1
25.9,25,9,N,F,9
25.3,25,ot,N,F,3
25.7,25,ot,N,F,7
26.0.C.BF.M1,26,1,C,BF,0
26.0.C.BF.M3,26,3,C,BF,0
26.0.C.F.M7,26,7,C,F,0
26.0.C.F.M12,26,12,C,F,0
27.0.C.F.M1,27,1,C,F,0
27.0.C.F.M3,27,3,C,F,0
27.0.C.F.M7,27,7,C,F,0
27.0.C.F.M12,27,12,C,F,0
27.0.C.F.M24,27,24,C,F,0
27.1,27,ot,C,F,1
27.12,27,ot,C,F,12
27.9,27,9,C,F,9
27.3,27,ot,C,F,3
27.7,27,ot,C,F,7
27.5,27,5,C,F,5
28.1.N.F.M1,28,1,N,F,1
28.1.N.BF.M3,28,3,N,BF,1
28.1.N.F.M12,28,12,N,F,1
28.1.N.F.M24,28,24,N,F,1
29.0.C.F.M1,29,1,C,F,0
29.0.C.F.M3,29,3,C,F,0
29.0.C.F.M7,29,7,C,F,0
29.0.C.F.M12,29,12,C,F,0
29.0.C.F.M24,29,24,C,F,0
29.5,29,5,C,F,5
29.3,29,ot,C,F,3
29.1,29,ot,C,F,1
29.12,29,ot,C,F,12
29.7,29,ot,C,F,7
29.9,29,9,C,F,9
30.0.N.F.M1,30,1,N,F,0
30.0.N.F.M3,30,3,N,F,0
30.0.N.F.M7,30,7,N,F,0
30.0.N.F.M12,30,12,N,F,0
30.7,30,ot,N,F,7
30.5,30,5,N,F,5
30.3,30,ot,N,F,3
30.1,30,ot,N,F,1
30.12,30,ot,N,F,12
30.9,30,9,N,F,9
31.1.C.B.M1,31,1,C,B,1
31.1.C.B.M3,31,3,C,B,1
31.1.C.B.M7,31,7,C,B,1
31.1.C.B.M12,31,12,C,B,1
31.1.C.B.M24,31,24,C,B,1
31.12,31,ot,C,B,12
31.1,31,ot,C,B,1
31.9,31,9,C,B,9
31.7,31,ot,C,B,7
31.3,31,ot,C,B,3
31.5,31,5,C,B,5
33.0.C.B.M1,33,1,C,B,0
33.0.C.B.M3,33,3,C,B,0
33.0.C.F.M12,33,12,C,F,0
33.0.C.F.M24,33,24,C,F,0
34.0.N.B.M1,34,1,N,B,0
34.0.N.B.M3,34,3,N,B,0
34.0.N.B.M7,34,7,N,B,0
34.0.N.B.M12,34,12,N,B,0
34.0.N.B.M24,34,24,N,B,0
34.12,34,ot,N,B,12
34.7,34,ot,N,B,7
34.5,34,5,N,B,5
34.3,34,ot,N,B,3
34.1,34,ot,N,B,1
34.9,34,9,N,B,9
36.1.C.F.M1,36,1,C,F,1
36.1.C.F.M3,36,3,C,F,1
36.1.C.F.M7,36,7,C,F,1
36.1.C.F.M12,36,12,C,F,1
36.1.C.F.M24,36,24,C,F,1
36.9,36,9,C,F,9
36.1,36,ot,C,F,1
36.7,36,ot,C,F,7
36.12,36,ot,C,F,12
36.3,36,ot,C,F,3
36.5,36,5,C,F,5
37.0.N.B.M1,37,1,N,B,0
37.0.N.B.M3,37,3,N,B,0
37.0.N.BF.M7,37,7,N,BF,0
37.0.N.F.M12,37,12,N,F,0
37.0.N.F.M24,37,24,N,F,0
38.0.N.BF.M3,38,3,N,BF,0
38.0.N.F.M7,38,7,N,F,0
38.0.N.F.M12,38,12,N,F,0
38.0.N.F.M24,38,24,N,F,0
39.1.C.F.M1,39,1,C,F,1
39.1.C.F.M3,39,3,C,F,1
39.1.C.F.M7,39,7,C,F,1
39.1.C.F.M12,39,12,C,F,1
39.9,39,9,C,F,9
39.12,39,ot,C,F,12
39.1,39,ot,C,F,1
39.3,39,ot,C,F,3
39.5,39,5,C,F,5
39.7,39,ot,C,F,7
40.1.C.B.M1,40,1,C,B,1
40.1.C.BF.M3,40,3,C,BF,1
40.1.C.F.M7,40,7,C,F,1
40.1.C.F.M12,40,12,C,F,1
40.1.C.F.M24,40,24,C,F,1
41.1.N.B.M1,41,1,N,B,1
41.1.N.B.M3,41,3,N,B,1
41.1.N.BF.M7,41,7,N,BF,1
41.1.N.BF.M12,41,12,N,BF,1
41.1.N.BF.M24,41,24,N,BF,1
42.0.N.B.M1,42,1,N,B,0
42.0.N.B.M3,42,3,N,B,0
42.0.N.BF.M7,42,7,N,BF,0
42.0.N.F.M12,42,12,N,F,0
42.0.N.F.M24,42,24,N,F,0
43.1.C.F.M1,43,1,C,F,1
43.1.C.F.M3,43,3,C,F,1
43.1.C.F.M7,43,7,C,F,1
43.1.C.F.M12,43,12,C,F,1
43.1.C.F.M24,43,24,C,F,1
43.7,43,ot,C,F,7
43.9,43,9,C,F,9
43.5,43,5,C,F,5
43.1,43,ot,C,F,1
43.12,43,ot,C,F,12
43.3,43,ot,C,F,3
44.1.N.F.M1,44,1,N,F,1
44.1.N.F.M3,44,3,N,F,1
44.1.N.F.M7,44,7,N,F,1
44.1.N.F.M12,44,12,N,F,1
44.1.N.F.M24,44,24,N,F,1
44.7,44,ot,N,F,7
44.9,44,9,N,F,9
44.5,44,5,N,F,5
44.12,44,ot,N,F,12
44.1,44,ot,N,F,1
44.3,44,ot,N,F,3
45.0.N.B.M1,45,1,N,B,0
45.0.N.B.M3,45,3,N,B,0
45.0.N.B.M7,45,7,N,B,0
45.0.N.F.M12,45,12,N,F,0
45.0.N.F.M24,45,24,N,F,0
45.7,45,ot,N,B,7
45.12,45,ot,N,F,12
45.1,45,ot,N,B,1
45.3,45,ot,N,B,3
45.5,45,5,N,B,5
46.1.N.F.M1,46,1,N,F,1
46.1.N.F.M3,46,3,N,F,1
46.1.N.F.M7,46,7,N,F,1
46.1.N.F.M12,46,12,N,F,1
46.1.N.F.M24,46,24,N,F,1
46.1,46,ot,N,F,1
46.3,46,ot,N,F,3
46.12,46,ot,N,F,12
46.5,46,5,N,F,5
46.7,46,ot,N,F,7
46.9,46,9,N,F,9
47.0.N.B.M1,47,1,N,B,0
47.0.N.B.M3,47,3,N,B,0
47.0.N.F.M7,47,7,N,F,0
47.0.N.F.M12,47,12,N,F,0
48.0.C.B.M1,48,1,C,B,0
48.0.C.B.M3,48,3,C,B,0
48.0.C.BF.M7,48,7,C,BF,0
48.0.C.F.M12,48,12,C,F,0
48.0.C.F.M24,48,24,C,F,0
49.0.N.BF.M1,49,1,N,BF,0
49.0.N.BF.M3,49,3,N,BF,0
49.0.N.F.M7,49,7,N,F,0
49.0.N.F.M12,49,12,N,F,0
49.0.N.F.M24,49,24,N,F,0
52.0.N.BF.M1,52,1,N,BF,0
52.0.N.B.M3,52,3,N,B,0
52.0.N.BF.M7,52,7,N,BF,0
52.0.N.F.M12,52,12,N,F,0
53.1.N.BF.M1,53,1,N,BF,1
53.1.N.BF.M3,53,3,N,BF,1
53.1.N.B.M7,53,7,N,B,1
53.1.N.F.M12,53,12,N,F,1
54.1.N.B.M1,54,1,N,B,1
54.1.N.F.M3,54,3,N,F,1
54.1.N.F.M7,54,7,N,F,1
54.1.N.F.M12,54,12,N,F,1
54.1.N.F.M24,54,24,N,F,1
55.0.N.B.M1,55,1,N,B,0
55.0.N.B.M3,55,3,N,B,0
55.0.N.F.M7,55,7,N,F,0
55.0.N.F.M12,55,12,N,F,0
56.1.N.B.M1,56,1,N,B,1
56.1.N.F.M3,56,3,N,F,1
56.1.N.F.M7,56,7,N,F,1
56.1.N.F.M12,56,12,N,F,1
56.1.N.F.M24,56,24,N,F,1
58.1.C.B.M1,58,1,C,B,1
58.1.C.BF.M3,58,3,C,BF,1
58.1.C.F.M7,58,7,C,F,1
58.1.C.F.M12,58,12,C,F,1
59.1.N.B.M1,59,1,N,B,1
59.1.N.B.M3,59,3,N,B,1
59.1.N.B.M7,59,7,N,B,1
59.1.N.F.M12,59,12,N,F,1
59.1,59,ot,N,B,1
59.5,59,5,N,B,5
59.9,59,9,N,B,9
59.12,59,ot,N,F,12
59.3,59,ot,N,B,3
59.7,59,ot,N,B,7
60.0.C.B.M1,60,1,C,B,0
60.0.C.B.M3,60,3,C,B,0
60.0.C.B.M7,60,7,C,B,0
60.0.C.F.M12,60,12,C,F,0
60.0.C.F.M24,60,24,C,F,0
60.7,60,ot,C,B,7
60.3,60,ot,C,B,3
60.9,60,9,C,B,9
60.5,60,5,C,B,5
60.1,60,ot,C,B,1
60.12,60,ot,C,F,12
61.0.N.BF.M1,61,1,N,BF,0
61.0.N.BF.M3,61,3,N,BF,0
61.0.N.F.M7,61,7,N,F,0
61.0.N.F.M12,61,12,N,F,0
61.0.N.F.M24,61,24,N,F,0
62.1.C.F.M1,62,1,C,F,1
62.1.C.F.M3,62,3,C,F,1
62.1.C.F.M7,62,7,C,F,1
62.1.C.F.M12,62,12,C,F,1
62.5,62,5,C,F,5
62.9,62,9,C,F,9
62.7,62,ot,C,F,7
62.3,62,ot,C,F,3
62.12,62,ot,C,F,12
62.1,62,ot,C,F,1
63.0.N.B.M1,63,1,N,B,0
63.0.N.B.M3,63,3,N,B,0
63.0.N.B.M7,63,7,N,B,0
63.0.N.F.M12,63,12,N,F,0
63.0.N.F.M24,63,24,N,F,0
63.12,63,ot,N,F,12
63.7,63,ot,N,B,7
63.1,63,ot,N,B,1
63.5,63,5,N,B,5
63.3,63,ot,N,B,3
64.0.N.F.M1,64,1,N,F,0
64.0.N.F.M3,64,3,N,F,0
64.0.N.F.M12,64,12,N,F,0
64.0.N.F.M24,64,24,N,F,0
64.3,64,ot,N,F,3
64.12,64,ot,N,F,12
64.5,64,5,N,F,5
64.7,64,ot,N,F,7
64.9,64,9,N,F,9
64.1,64,ot,N,F,1
65.1.N.B.M1,65,1,N,B,1
65.1.N.F.M3,65,3,N,F,1
65.1.N.F.M7,65,7,N,F,1
65.1.N.F.M12,65,12,N,F,1
65.1.N.F.M24,65,24,N,F,1
66.0.C.B.M3,66,3,C,B,0
66.0.C.B.M7,66,7,C,B,0
66.0.C.B.M12,66,12,C,B,0
66.1,66,ot,C,B,1
66.3,66,ot,C,B,3
66.7,66,ot,C,B,7
66.12,66,ot,C,B,12
66.5,66,5,C,B,5
67.0.N.B.M1,67,1,N,B,0
67.0.N.B.M3,67,3,N,B,0
67.0.N.F.M7,67,7,N,F,0
67.0.N.F.M12,67,12,N,F,0
68.1.N.B.M1,68,1,N,B,1
68.1.N.BF.M3,68,3,N,BF,1
68.1.N.F.M7,68,7,N,F,1
68.1.N.F.M12,68,12,N,F,1
68.1.N.F.M24,68,24,N,F,1
70.1.N.B.M1,70,1,N,B,1
70.1.N.B.M3,70,3,N,B,1
70.1.N.BF.M7,70,7,N,BF,1
70.1.N.F.M12,70,12,N,F,1
70.1.N.F.M24,70,24,N,F,1
71.0.C.F.M3,71,3,C,F,0
71.0.C.F.M7,71,7,C,F,0
71.0.C.F.M12,71,12,C,F,0
71.0.C.F.M24,71,24,C,F,0
71.5,71,5,C,F,5
71.9,71,9,C,F,9
71.7,71,ot,C,F,7
71.12,71,ot,C,F,12
71.3,71,ot,C,F,3
71.1,71,1,C,F,1
72.1.N.BF.M1,72,1,N,BF,1
72.1.N.BF.M3,72,3,N,BF,1
72.1.N.F.M12,72,12,N,F,1
73.1.C.B.M1,73,1,C,B,1
73.1.C.BF.M3,73,3,C,BF,1
73.1.C.F.M7,73,7,C,F,1
73.1.C.F.M12,73,12,C,F,1
75.0.N.F.M1,75,1,N,F,0
75.0.N.F.M3,75,3,N,F,0
75.0.N.F.M7,75,7,N,F,0
75.0.N.F.M12,75,12,N,F,0
75.0.N.F.M24,75,24,N,F,0
75.9,75,9,N,F,9
75.1,75,ot,N,F,1
75.5,75,5,N,F,5
75.12,75,ot,N,F,12
75.7,75,ot,N,F,7
75.3,75,ot,N,F,3
76.0.N.F.M1,76,1,N,F,0
76.0.N.F.M3,76,3,N,F,0
76.0.N.F.M7,76,7,N,F,0
76.0.N.F.M12,76,12,N,F,0
76.0.N.F.M24,76,24,N,F,0
76.3,76,ot,N,F,3
76.7,76,ot,N,F,7
76.9,76,9,N,F,9
76.5,76,5,N,F,5
76.1,76,ot,N,F,1
77.0.N.BF.M1,77,1,N,BF,0
77.0.N.B.M3,77,3,N,B,0
77.0.N.BF.M7,77,7,N,BF,0
77.0.N.F.M12,77,12,N,F,0
77.0.N.F.M24,77,24,N,F,0
78.1.N.B.M1,78,1,N,B,1
78.1.N.B.M3,78,3,N,B,1
78.1.N.F.M12,78,12,N,F,1
78.1.N.F.M24,78,24,N,F,1
79.0.C.B.M1,79,1,C,B,0
79.0.C.B.M3,79,3,C,B,0
79.0.C.F.M12,79,12,C,F,0
79.0.C.F.M24,79,24,C,F,0
80.1.C.B.M1,80,1,C,B,1
80.1.C.B.M3,80,3,C,B,1
80.1.C.B.M7,80,7,C,B,1
80.1.C.B.M12,80,12,C,B,1
80.1.C.B.M24,80,24,C,B,1
80.7,80,ot,C,B,7
80.12,80,ot,C,B,12
80.1,80,ot,C,B,1
80.3,80,ot,C,B,3
80.9,80,9,C,B,9
81.1.C.BF.M1,81,1,C,BF,1
81.1.C.F.M3,81,3,C,F,1
81.1.C.F.M7,81,7,C,F,1
81.1.C.F.M12,81,12,C,F,1
81.1.C.F.M24,81,24,C,F,1
82.0.N.B.M1,82,1,N,B,0
82.0.N.B.M3,82,3,N,B,0
82.0.N.B.M7,82,7,N,B,0
82.0.N.BF.M12,82,12,N,BF,0
82.0.N.BF.M24,82,24,N,BF,0
82.12,82,ot,N,BF,12
82.9,82,9,N,BF,9
82.1,82,ot,N,B,1
82.3,82,ot,N,B,3
82.5,82,5,N,B,5
82.7,82,ot,N,B,7
84.1.N.B.M1,84,1,N,B,1
84.1.N.B.M3,84,3,N,B,1
84.1.N.BF.M7,84,7,N,BF,1
84.1.N.F.M12,84,12,N,F,1
84.1.N.F.M24,84,24,N,F,1
85.1.N.B.M3,85,3,N,B,1
85.1.N.BF.M7,85,7,N,BF,1
85.1.N.F.M12,85,12,N,F,1
85.1.N.F.M24,85,24,N,F,1
86.0.N.F.M1,86,1,N,F,0
86.0.N.F.M3,86,3,N,F,0
86.0.N.F.M7,86,7,N,F,0
86.0.N.F.M12,86,12,N,F,0
86.0.N.F.M24,86,24,N,F,0
86.1,86,ot,N,F,1
86.5,86,5,N,F,5
86.12,86,ot,N,F,12
86.9,86,9,N,F,9
86.3,86,ot,N,F,3
86.7,86,ot,N,F,7
87.0.C.BF.M1,87,1,C,BF,0
